DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
227150,227150,0.500000,MiniPAT,00:00:00 05-Mar-2023,,,,30.000000,0.500000,TAD,87.500000,12.500000,TAD
227150,227150,0.500000,MiniPAT,00:00:00 06-Mar-2023,,,,30.000000,0.500000,TAD,62.500000,12.500000,TAD
227150,227150,0.500000,MiniPAT,00:00:00 07-Mar-2023,,,,30.000000,0.500000,TAD,88.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 08-Mar-2023,,,,30.000000,0.500000,TAD,74.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 09-Mar-2023,,,,30.000000,0.500000,TAD,72.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 10-Mar-2023,,,,48.000000,4.000000,PDT,64.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 11-Mar-2023,,,,30.000000,0.500000,TAD,74.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 12-Mar-2023,,,,30.000000,0.500000,TAD,76.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 13-Mar-2023,,,,29.500000,0.250000,MixLayer,80.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 14-Mar-2023,,,,30.000000,0.500000,TAD,86.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 15-Mar-2023,,,,30.000000,0.500000,TAD,80.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 16-Mar-2023,,,,15.000000,0.250000,MixLayer,76.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 17-Mar-2023,,,,30.000000,0.500000,TAD,72.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 18-Mar-2023,,,,30.000000,0.500000,TAD,72.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 19-Mar-2023,,,,20.000000,0.250000,MixLayer,72.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 20-Mar-2023,,,,1.000000,0.250000,MixLayer,104.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 21-Mar-2023,,,,22.000000,0.250000,MixLayer,70.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 22-Mar-2023,,,,32.500000,0.250000,MixLayer,80.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 23-Mar-2023,,,,32.500000,0.250000,MixLayer,80.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 24-Mar-2023,,,,30.000000,0.500000,TAD,68.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 25-Mar-2023,,,,29.500000,0.250000,MixLayer,72.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 26-Mar-2023,,,,30.000000,0.500000,TAD,76.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 27-Mar-2023,,,,30.000000,0.500000,TAD,76.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 28-Mar-2023,,,,30.000000,0.500000,TAD,80.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 29-Mar-2023,,,,30.500000,0.250000,MixLayer,80.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 30-Mar-2023,,,,30.000000,0.500000,TAD,177.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 31-Mar-2023,,,,31.500000,0.250000,MixLayer,78.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 01-Apr-2023,,,,20.000000,0.250000,MixLayer,70.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 02-Apr-2023,,,,30.000000,0.500000,TAD,80.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 03-Apr-2023,,,,36.500000,0.250000,MixLayer,68.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 04-Apr-2023,,,,30.000000,0.500000,TAD,64.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 05-Apr-2023,,,,30.000000,0.500000,TAD,80.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 06-Apr-2023,,,,30.000000,0.500000,TAD,70.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 07-Apr-2023,,,,30.000000,0.500000,TAD,68.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 08-Apr-2023,,,,20.000000,0.250000,MixLayer,72.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 09-Apr-2023,,,,30.000000,0.500000,TAD,68.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 10-Apr-2023,,,,10.000000,0.500000,TAD,87.500000,12.500000,TAD
227150,227150,0.500000,MiniPAT,00:00:00 11-Apr-2023,,,,40.000000,4.000000,PDT,72.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 12-Apr-2023,,,,48.000000,16.000000,LightLoc,80.000000,16.000000,LightLoc
227150,227150,0.500000,MiniPAT,00:00:00 13-Apr-2023,,,,40.000000,4.000000,PDT,72.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 14-Apr-2023,,,,10.500000,0.250000,MixLayer,84.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 15-Apr-2023,,,,13.500000,0.250000,MixLayer,80.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 16-Apr-2023,,,,30.000000,0.500000,TAD,72.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 17-Apr-2023,,,,20.000000,0.250000,MixLayer,76.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 18-Apr-2023,,,,30.000000,0.500000,TAD,74.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 19-Apr-2023,,,,30.000000,0.500000,TAD,70.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 20-Apr-2023,,,,28.500000,0.250000,MixLayer,70.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 21-Apr-2023,,,,19.500000,0.250000,MixLayer,56.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 22-Apr-2023,,,,0.000000,0.500000,TAD,56.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 23-Apr-2023,,,,10.000000,0.500000,TAD,56.000000,4.000000,PDT
