"","Date","Ptt","Latitude","Longitude","day.at.liberty","month","DistfromStart","bathy_depth","DistToShelf","DistToShore","MinTempFromSeries","MeanTempFromSeries","MaxTempFromSeries","MinDepthFromSeries","MaxDepthFromSeries","MeanDepthFromSeries","MinTemp","MaxTemp","MinDepth","MaxDepth","MeanTempPDT","MeanDepthPDT","DistTravelled","date","rs_gsla","rs_vcur","rs_ucur","rs_current_velocity","rs_current_bearing","rs_sst_interpolated","degree_angle","radius"
"35",2022-04-28,227151,-35.61875,151.26875,35,"Apr",577.204207062849,-4832.99755859375,47.5663513123829,67.8743613120511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.411748446866,2022-04-28,0.313429875024797,-0.904124639494606,0.0471518166419972,0.905353332988779,357.014620913818,24.07,92.9853790861816,1.62290102126895
"36",2022-04-29,227151,-35.5875,151.175,36,"Apr",586.364702526696,-3646.4326171875,38.5135929571746,59.5993456760466,15.6,17.8611111111111,20.1,42.5,95,63.2638888888889,15.7,21.5,38,97,17.9,31.6818181818182,9.17532996656894,2022-04-29,0.34242290143897,-0.903666854867014,-0.00701936428974715,0.903694116424508,0.445044385668658,24.32,89.5549556143313,1.56302883694746
"37",2022-04-30,227151,-35.55,151.15,37,"Apr",591.108154322079,-3035.3125,34.3961108482795,54.9738637729362,14.5,18.4236111111111,19.6,44.5,106,55.125,14.6,19.7,42,108,NA,NA,4.73785160966714,2022-04-30,0.378740481894618,-0.969587841240291,-0.066836555628462,0.971888731825452,3.94332941277244,24.14,86.0566705872276,1.50197224505128
"38",2022-05-01,227151,-35.49375,151.125,38,"May",597.759504339072,-2836.6826171875,28.8939900611212,48.8440214095642,15.4,18.3097222222222,22.4,43,88,54.046875,15.1,22.6,38,101,17.94,32.4090909090909,6.64014403359487,2022-05-01,0.377824912639434,-1.01811301176506,-0.177925625257504,1.03354324188618,9.91291325258631,23.89,80.0870867474137,1.39778335207269
"39",2022-05-02,227151,-35.425,151.1125,39,"May",605.487533506954,-2589,23.7291621592263,42.805965822457,14.9,16.5583333333333,18.3,44.5,91.5,62.9513888888889,14.7,18.7,42,93,NA,NA,7.7116796438944,2022-05-02,0.38331832817054,-1.00972029359254,-0.160987594036592,1.02247350905845,9.05886717128105,24.02,80.9411328287189,1.41268926815522
"40",2022-05-03,227151,-35.45,151.30625,40,"May",623.259247539614,-3728.25244140625,40.375901985344,58.7971680488722,15.8,16.11875,18.3,51.5,80,67.3125,15.8,19.7,39,85,17.25,28.5,17.8097399884516,2022-05-03,0.506309798116979,-0.93693253780538,-0.194100682099095,0.956826867928449,11.7041797076935,23.5400000000001,78.2958202923065,1.36651985465054
"41",2022-05-04,227151,-35.4875,151.48125,41,"May",639.646752620698,-4871.12744140625,56.1073660635619,74.4668532355637,15.4,16.2131944444444,17.2,46.5,76.5,60.6111111111111,15.5,17.7,42,77,16.425,27.6111111111111,16.4196609077532,2022-05-04,0.518822577937833,-0.881845787618452,-0.264904704500023,0.920774942972848,16.7201624039395,22.7500000000001,73.2798375960605,1.27897444137798
"42",2022-05-05,227151,-35.51875,151.69375,42,"May",659.194005970928,-4864.00244140625,74.9464751938932,92.3082171126626,15.4,16.0611111111111,17.1,52.5,74.5,61.8854166666667,15.6,17.4,50,77,16.2,28.0714285714286,19.5885328968744,2022-05-05,0.652037904567165,-0.65936245860864,-0.226755985534006,0.697264030907897,18.9781896408888,22.58,71.0218103591112,1.23956443149351
"43",2022-05-06,227151,-35.49375,151.65625,43,"May",663.581480786033,-4868.0625,70.605766462888,87.9561338836806,15.9,17.4652777777778,21.9,43,74.5,60.7777777777778,16,22.4,38,76,18.65,27.6111111111111,4.38951909846865,2022-05-06,0.589931790090489,-0.666687012650115,-0.300459310576351,0.73126422731346,24.2599091473771,22.4100000000001,65.7400908526229,1.14738103593848
"44",2022-05-07,227151,-35.43125,151.55,44,"May",675.451476878034,-4850.81005859375,58.7793286424709,76.1136572514195,16.1,18.0409722222222,20.9,48.5,72.5,64.8229166666667,16.2,21.3,37,86,NA,NA,11.878578943189,2022-05-07,0.594051851738819,-0.589321410587032,-0.316481772542078,0.668924836829718,28.2370190621052,22.6800000000001,61.7629809378948,1.07796737321276
