Date,Ptt,Latitude,Longitude,day.at.liberty,month,DistfromStart,bathy_depth,DistToShelf,DistToShore,MinTemp,MaxTemp,MinDepth,MaxDepth,MeanTempPDT,MeanDepthPDT,DistTravelled
2023-05-28,227150,-32.5833333333333,159.191666666667,174,May,963.458095083484,-4156.37744140625,78.3918441600649,109.587667901352,19.8,19.8,42,57,19.65,20.9,9.555055228621585
2023-05-29,227150,-32.5625,159.24375,175,May,968.860436883421,-4129.68994140625,75.872743959671,107.904134770141,19.8,19.8,43,55,19.65,20.9,5.408916039466353
2023-05-30,227150,-32.54375,159.26875,176,May,971.996853857899,-4132.06005859375,73.7853831709284,106.228745475324,19.7,19.8,41,58,19.65,20.9,3.1363684390520827
2023-05-31,227150,-32.525,159.275,177,May,974.162521048363,-4116.75,71.7161789833897,104.286526716247,19.8,19.7,41,54,19.75,20.9,2.160608115684639
2023-06-01,227150,-32.5,159.275,178,Jun,976.942394214477,-4121.93994140625,68.9444219337495,101.561591906499,19.2,19.6,24,67,19.474999999999998,21.38888888888889,2.772395434833382
2023-06-02,227150,-32.48125,159.275,179,Jun,979.027299089062,-4117.06005859375,66.8656461185443,99.5196182359597,19.6,19.6,26,66,19.525,20.5,2.079289337212685
2023-06-03,227150,-32.46875,159.26875,180,Jun,980.535829301306,-4117.06005859375,65.4689299097004,98.0473911275988,19.6,19.8,10,55,19.6,16.055555555555557,1.5055555850131934
2023-06-04,227150,-32.45,159.25,181,Jun,983.263751466071,-4171,63.3890142343777,95.6842088936974,19.6,19.6,41,54,19.5,20.9,2.7259974693971163
2023-06-04,227150,-32.45,159.25,181,Jun,983.263751466071,-4171,63.3890142343777,95.6842088936974,19.6,19.6,41,54,19.5,20.9,0
2023-06-04,227150,-32.45,159.25,181,Jun,983.263751466071,-4171,63.3890142343777,95.6842088936974,19.6,19.6,41,54,19.5,20.9,0
2023-06-04,227150,-32.45,159.25,181,Jun,983.263751466071,-4171,63.3890142343777,95.6842088936974,19.6,19.6,41,54,19.5,20.9,0
2023-06-05,227150,-32.45,159.25,182,Jun,983.263751466071,-4171,63.3890142343777,95.6842088936974,19.5,19.5,42,55,19.5,20.9,0
2023-06-05,227150,-32.45,159.25,182,Jun,983.263751466071,-4171,63.3890142343777,95.6842088936974,19.5,19.5,42,55,19.5,20.9,0
2023-06-05,227150,-32.45,159.25,182,Jun,983.263751466071,-4171,63.3890142343777,95.6842088936974,19.5,19.5,42,55,19.5,20.9,0
2023-06-05,227150,-32.45,159.25,182,Jun,983.263751466071,-4171,63.3890142343777,95.6842088936974,19.5,19.5,42,55,19.5,20.9,0
2023-06-06,227150,-32.45,159.25,183,Jun,983.263751466071,-4171,63.3890142343777,95.6842088936974,19.3,19.4,22,56,19.366666666666664,18.928571428571427,0
2023-06-06,227150,-32.45,159.25,183,Jun,983.263751466071,-4171,63.3890142343777,95.6842088936974,19.3,19.4,22,56,19.366666666666664,18.928571428571427,0
2023-06-06,227150,-32.45,159.25,183,Jun,983.263751466071,-4171,63.3890142343777,95.6842088936974,19.3,19.4,22,56,19.366666666666664,18.928571428571427,0
2023-06-06,227150,-32.45,159.25,183,Jun,983.263751466071,-4171,63.3890142343777,95.6842088936974,19.3,19.4,22,56,19.366666666666664,18.928571428571427,0
2023-06-07,227150,-32.45,159.25,184,Jun,983.263751466071,-4171,63.3890142343777,95.6842088936974,19.4,19.4,43,70,19.4,24.642857142857142,0
2023-06-07,227150,-32.45,159.25,184,Jun,983.263751466071,-4171,63.3890142343777,95.6842088936974,19.4,19.4,43,70,19.4,24.642857142857142,0
2023-06-07,227150,-32.45,159.25,184,Jun,983.263751466071,-4171,63.3890142343777,95.6842088936974,19.4,19.4,43,70,19.4,24.642857142857142,0
2023-06-07,227150,-32.45,159.25,184,Jun,983.263751466071,-4171,63.3890142343777,95.6842088936974,19.4,19.4,43,70,19.4,24.642857142857142,0
2023-06-08,227150,-32.425,159.25,185,Jun,986.043624632185,-4139.68994140625,60.6169165857885,92.9550699415504,19.2,19.4,45,70,19.266666666666666,26.928571428571427,2.772362357504417
2023-06-09,227150,-32.425,159.275,186,Jun,988.39009901663,-3977.81005859375,60.6295671706274,93.4036122753996,19.1,19.4,35,73,NA,NA,2.3513668725311976
2023-06-10,227150,-32.4,159.275,187,Jun,991.169972182744,-3780.62744140625,57.8581156564005,90.6907314241759,19.3,19.4,27,72,19.325,22.27777777777778,2.7723513408790526
2023-06-11,227150,-32.4,159.3,188,Jun,993.517096720902,-3711.74755859375,57.967431071754,91.2117436323778,18.8,19.4,17,66,NA,NA,2.3520152670510246
2023-06-12,227150,-32.375,159.3,189,Jun,996.296969887016,-3593.62744140625,55.2016009301679,88.5186747949586,18.9,19.4,24,73,19.3,22.27777777777778,2.772340328848237
2023-06-13,227150,-32.35,159.3,190,Jun,999.07684305313,-3319.24755859375,52.4364693374416,85.8306641766862,19.3,19.3,22,70,19.25,22.27777777777778,2.772329321414372
