lat,lon,fishing_hours,PTT
-35.5,151.4,6.292777777777777,227151
-33.8,151,7.349444444444444,227151
-32.7,152.2,16.75069166666667,227151
-33.6,151.5,2.674722222222222,227151
-34.7,151.5,15.488888888888887,227151
-36.1,151,2.5644444444444447,227151
-36.3,151.2,2.0171194444444445,227151
-36.4,151.3,1.4891666666666667,227151
-32.2,153.6,5.990277777777779,227151
-32.5,153.6,4.378402777777778,227151
-33,153.3,2.345427777777778,227151
-33.2,151.9,4.998888888888889,227151
-33.4,152,1.9646833333333331,227151
-33.3,152.1,2.082561111111111,227151
-33.2,152.4,7.166388888888889,227151
-33.5,152,0.9997888888888888,227151
-33.5,152.1,12.027266666666668,227151
-33.4,151.8,0.24944444444444444,227151
-33.5,151.3,1.0375,227151
-34,151.7,0.23555555555555557,227151
-34.5,151.5,3.1491666666666664,227151
-34.6,151.4,3.5922222222222224,227151
-34.4,151.8,1.3750944444444448,227151
-34.7,151.3,6.607777777777779,227151
-34.7,151.4,13.371241666666668,227151
-34.6,151.6,5.207732589444444,227151
-35.1,151.1,1.1263888888888889,227151
-35.2,151.2,37.50138888888889,227151
-35.4,151.1,13.41361111111111,227151
-34.9,151.2,1.6105555555555555,227151
-35,151.3,8.490555555555556,227151
-35.1,151.2,19.61777777777778,227151
-35.2,151.3,28.70185277777777,227151
-35.3,151.3,14.024565448333334,227151
-36,150.8,14.328611111111112,227151
-36,151.1,6.725277777777778,227151
-35.9,151.3,3.5716666666666685,227151
-36,151.2,6.9605555555555565,227151
-36,151.3,5.295833333333333,227151
-36,151.4,4.959722222222222,227151
-36.2,150.8,21.825555555555553,227151
-36.3,150.8,2.502222222222222,227151
-36.2,150.9,3.649999999999999,227151
-36.2,151.1,6.071944444444444,227151
-36.2,151.4,5.966388888888888,227151
-36.2,151.5,2.4325,227151
-36.3,151.3,3.157222222222222,227151
-36.4,151.4,0.9819444444444444,227151
-32.3,152.6,3.218700000000001,227151
-32.4,152.5,1.573888888888889,227151
-32.2,152.6,5.4672222222222215,227151
-32.3,153.3,2.9814277777777773,227151
-32.5,153.1,6.3025,227151
-32.8,152.1,31.43652499999999,227151
-32.6,152.4,38.94378333333333,227151
-32.9,152,20.631844444444447,227151
-33,153.2,2.173055555555556,227151
-32.7,153.4,0.5061111111111111,227151
-33.1,153.4,1.149444444444445,227151
-33.2,153.3,7.250833333333333,227151
-33.3,153.1,2.0027777777777778,227151
-34,152.1,9.62222222222222,227151
-34.1,151.9,10.855555555555554,227151
-34,152.2,2.6375,227151
-33.2,153.5,3.0338888888888897,227151
-34.4,152,4.5841666666666665,227151
-34.9,152.3,1.4991666666666668,227151
-34.8,152.4,1.600277777777778,227151
-32.5,153,0.7825,227151
-33,151.9,3.958452777777778,227151
-33.2,151.7,106.84876666666663,227151
-33.2,152.8,1.2016666666666669,227151
-34.4,151.7,10.05888888888889,227151
-35.7,150.9,20.491666666666667,227151
-33.7,152,4.939530555555556,227151
-33.8,152.1,2.0658333333333334,227151
-34,151.9,5.416111111111111,227151
-33.9,151.3,54.19609166666666,227151
-32.8,152.8,8.282222222222224,227151
-33.9,151.2,456.2786111111111,227151
-34.9,151.7,7.249722222222223,227151
-34.1,151.7,8.762777777777778,227151
-33.9,152,2.4869444444444446,227151
-35.6,151.2,6.468888888888889,227151
-34.2,151.9,6.674722222222224,227151
-31.7,152.8,5.6658333333333335,227151
-31.7,152.9,12.875833333333333,227151
-32,152.7,16.26356388888889,227151
-32.1,152.6,9.889166666666668,227151
-32.5,152.5,32.739425,227151
-35.6,150.7,4.902208333333333,227151
-35.8,150.5,1.477777777777778,227151
-33.7,151.7,0.7505555555555558,227151
-33.6,151.9,0.15861111111111112,227151
-33.6,152,0.7136111111111112,227151
-33.4,152.7,0.9983333333333336,227151
-36.4,150.6,2.501666666666667,227151
-34.8,151.5,14.980277777777776,227151
-35.7,150.7,4.441944444444445,227151
-35.2,151.7,6.815833333333333,227151
-35.5,150.4,4.754722222222222,227151
-36.1,150.6,21.712222222222223,227151
-33.6,151.2,48.835,227151
-34.2,151.1,10.745433333333333,227151
-34.4,150.9,17.045683333333333,227151
-35.2,150.8,2.245833333333333,227151
-35.3,150.7,11.963055555555556,227151
-35.3,150.9,2.116666666666667,227151
-35.2,151.1,13.348805555555558,227151
-32.4,153.1,5.498333333333334,227151
-32.6,153.2,4.194166666666667,227151
-32.7,153.1,8.171388888888888,227151
-32.8,153,8.479761111111113,227151
-33,152.9,7.311111111111111,227151
-32.9,153.1,15.101666666666668,227151
-32.9,153.2,9.360833333333334,227151
-34.7,150.8,45.43383055555555,227151
-35.1,151.6,10.683952777777778,227151
-35.6,150.8,4.987777777777778,227151
-33.8,151.8,0.4813888888888888,227151
-35.5,151.1,3.5643055555555554,227151
-34.7,151.9,2.183611111111111,227151
-34.8,151.9,2.357222222222222,227151
-34.9,151.5,10.849166666666664,227151
-35.5,151.5,4.458333333333333,227151
-35.6,151.7,4.8925,227151
-34.6,151.5,8.285277777777779,227151
-34.9,151.4,13.013471908888889,227151
