source,date,common_name,species,longitude,latitude
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2015-03-02,Common Coral Trout,Plectropomus leopardus,145.57095,-16.383517
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2015-03-16,Common Coral Trout,Plectropomus leopardus,147.08325,-18.6292
Reef Life Survey: Global reef fish dataset,2015-03-21,Snapper,Chrysophrys auratus,151.11,-34.07
Reef Life Survey: Global reef fish dataset,2015-05-23,Snapper,Chrysophrys auratus,152.15,-32.71
Reef Life Survey: Global reef fish dataset,2015-06-15,Common Coral Trout,Plectropomus leopardus,151.77,-23.25
Reef Life Survey: Global reef fish dataset,2015-07-15,Common Coral Trout,Plectropomus leopardus,147.11,-15.49
Reef Life Survey: Global reef fish dataset,2015-07-19,Common Coral Trout,Plectropomus leopardus,145.45,-14.65
Reef Life Survey: Global reef fish dataset,2015-07-27,Common Coral Trout,Plectropomus leopardus,143.4,-12.29
iNaturalist Australia,2015-07-29,Spangled Emperor,Lethrinus nebulosus,145.975211,-16.607812
Reef Life Survey: Global reef fish dataset,2015-07-30,Common Coral Trout,Plectropomus leopardus,144.45,-10.45
Reef Life Survey: Global reef fish dataset,2015-07-31,Common Coral Trout,Plectropomus leopardus,144.45,-10.43
Reef Life Survey: Global reef fish dataset,2015-07-31,Common Coral Trout,Plectropomus leopardus,144.43,-10.44
Queensland Museum provider for OZCAM,2015-09-17,Snapper,Chrysophrys auratus,153.23463,-27.425431
Reef Life Survey: Global reef fish dataset,2015-10-02,Snapper,Chrysophrys auratus,152.19,-32.74
iNaturalist Australia,2015-10-05,Snapper,Chrysophrys auratus,144.98466,-37.924987
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2015-10-07,Common Coral Trout,Plectropomus leopardus,151.91543,-23.1778
Queensland Museum provider for OZCAM,2015-10-10,Spangled Emperor,Lethrinus nebulosus,151.9148,-23.442298
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2015-10-15,Common Coral Trout,Plectropomus leopardus,152.37758,-23.84737
Reef Life Survey: Global reef fish dataset,2015-12-01,Common Coral Trout,Plectropomus leopardus,144.58,-10.15
Reef Life Survey: Global reef fish dataset,2015-12-01,Common Coral Trout,Plectropomus leopardus,144.57,-10.15
Reef Life Survey: Global reef fish dataset,2015-12-06,Common Coral Trout,Plectropomus leopardus,143.84,-10.06
Reef Life Survey: Global reef fish dataset,2015-12-07,Common Coral Trout,Plectropomus leopardus,143.72,-10.29
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2015-12-07,Common Coral Trout,Plectropomus leopardus,146.23933,-16.84967
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2015-12-15,Common Coral Trout,Plectropomus leopardus,146.39343,-17.52037
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2015-12-17,Common Coral Trout,Plectropomus leopardus,146.57807,-17.81453
Reef Life Survey: Cryptic Fish,2015-12-23,Common Coral Trout,Plectropomus leopardus,144.71,-14.01
iNaturalist Australia,2015-12-23,Snapper,Chrysophrys auratus,144.984628,-37.924955
iNaturalist Australia,2016-01-01,Snapper,Chrysophrys auratus,144.983995,-37.925199
