id,date,depth,temp,sal,lon,lat,scientific_name,common_name,sex
Monique,2023-02-18,20,28.413,21.5,121.8013873992676,-15.77228772786066,Natator depressus,Flatback Turtle,Female
Monique,2023-02-19,30,28.994,21.5,121.7807217306219,-15.637509287315,Natator depressus,Flatback Turtle,Female
Monique,2023-02-20,10,29.25,21.5,121.8247500209432,-15.72432983563098,Natator depressus,Flatback Turtle,Female
Monique,2023-02-21,40,28.482,21.5,122.0280789603038,-15.72790020333342,Natator depressus,Flatback Turtle,Female
Monique,2023-02-22,20,28.745,21.5,122.1195107565171,-15.68624507094753,Natator depressus,Flatback Turtle,Female
Monique,2023-02-23,15,28.755,21.5,122.1319728830402,-15.73680339304181,Natator depressus,Flatback Turtle,Female
Monique,2023-02-24,2,28.648,21.5,122.0904906546507,-15.62252232756141,Natator depressus,Flatback Turtle,Female
Monique,2023-02-25,2,28.485,21.5,122.0824602334392,-15.61584035323803,Natator depressus,Flatback Turtle,Female
Monique,2023-02-26,25,27.85,21.5,121.9744992857589,-15.55448430098658,Natator depressus,Flatback Turtle,Female
Monique,2023-02-27,24,27.839,21.5,121.8825827146002,-15.48648185822718,Natator depressus,Flatback Turtle,Female
Monique,2023-02-28,40,27.311,21.5,121.8423225968169,-15.29243979096784,Natator depressus,Flatback Turtle,Female
Monique,2023-03-01,5,27.832,21.5,121.8573670577144,-15.31406910822562,Natator depressus,Flatback Turtle,Female
Monique,2023-03-02,24,28.073,21.5,121.8436728019878,-15.3592778536143,Natator depressus,Flatback Turtle,Female
Monique,2023-03-03,31.5,27.638,21.5,121.8394834186204,-15.35650401305853,Natator depressus,Flatback Turtle,Female
Monique,2023-03-04,36.5,27.405,21.5,121.8176137856637,-15.38381485088284,Natator depressus,Flatback Turtle,Female
Monique,2023-03-05,10,28.263,21.5,121.7133501988329,-15.37506037631293,Natator depressus,Flatback Turtle,Female
Monique,2023-03-06,20,28.344,21.5,121.7638232774641,-15.46291426250212,Natator depressus,Flatback Turtle,Female
Monique,2023-03-07,46.5,27.729,21.5,121.7711415631492,-15.43555461179195,Natator depressus,Flatback Turtle,Female
Monique,2023-03-08,59,27.396,21.5,121.8034811922946,-15.47558340738677,Natator depressus,Flatback Turtle,Female
Monique,2023-03-09,10,28.114,21.5,121.8419207036429,-15.43280259201647,Natator depressus,Flatback Turtle,Female
Monique,2023-03-10,35,27.421,21.5,121.8188660427375,-15.48670150817415,Natator depressus,Flatback Turtle,Female
Monique,2023-03-11,10,28.206,21.5,121.8634712718468,-15.53571590307358,Natator depressus,Flatback Turtle,Female
Monique,2023-03-12,7,28.518,21.5,121.9744547835513,-15.58790688659187,Natator depressus,Flatback Turtle,Female
Monique,2023-03-13,50,28.212,21.5,121.8939051241634,-15.55939871615927,Natator depressus,Flatback Turtle,Female
Monique,2023-03-14,24,28.297,21.5,121.9283055962458,-15.52942443622911,Natator depressus,Flatback Turtle,Female
Rosemary,2022-10-16,11.5,30.133,35.005,135.1358574989345,-11.64735669715769,Natator depressus,Flatback Turtle,Female
Rosemary,2022-10-18,6.5,29.81,34.374,135.213978245561,-11.60190641878637,Natator depressus,Flatback Turtle,Female
Rosemary,2022-10-19,18,29.791,34.658,135.2758564074523,-11.52340014060186,Natator depressus,Flatback Turtle,Female
Rosemary,2022-10-20,14,29.658,34.367,135.3880695386418,-11.51201704148593,Natator depressus,Flatback Turtle,Female
Rosemary,2022-10-21,22,29.429,34.54,135.4864954821842,-11.49974200319208,Natator depressus,Flatback Turtle,Female
Rosemary,2022-10-22,25.5,29.309,34.553,135.6055514988852,-11.42818784940311,Natator depressus,Flatback Turtle,Female
Rosemary,2022-10-23,19,29.453,34.198,135.9205697647969,-11.27061396763602,Natator depressus,Flatback Turtle,Female
Rosemary,2022-10-24,12,30.01,34.093,136.100882744607,-11.17993245826272,Natator depressus,Flatback Turtle,Female
Rosemary,2022-10-25,2,29.918,33.824,136.4168304544501,-10.96708647687497,Natator depressus,Flatback Turtle,Female
Rosemary,2022-10-26,22,29.455,33.927,136.5464465022085,-10.95736256646716,Natator depressus,Flatback Turtle,Female
Rosemary,2022-10-27,29,28.52,34.4,136.9706870990539,-10.94632450492678,Natator depressus,Flatback Turtle,Female
Rosemary,2022-10-28,40,27.326,34.559,137.1156722021703,-11.04550847384049,Natator depressus,Flatback Turtle,Female
Rosemary,2022-10-29,35,28.411,34.662,137.2572422747926,-11.19109620374587,Natator depressus,Flatback Turtle,Female
Rosemary,2022-10-30,15,29.645,34.817,137.4295510292314,-11.19440077658485,Natator depressus,Flatback Turtle,Female
Rosemary,2022-10-31,12,30.014,34.777,137.7485150520172,-11.25719510209963,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-01,22,29.36,34.717,138.0247192698979,-11.34992889540154,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-02,40,28.974,34.725,138.06675217159,-11.36682730777838,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-03,12,30.088,34.772,138.2998484683516,-11.46721666375426,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-04,35,29.213,34.748,138.3514230401669,-11.49197062596467,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-05,2,29.832,21.5,138.5007214035294,-11.58608559129535,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-06,50,26.32,34.942,138.8384182097818,-11.8266737222045,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-07,50,26.114,35.031,138.9955285604276,-11.95008044768292,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-08,50,25.85,32.02,139.1571564183184,-12.11438600697229,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-10,52.5,25.606,34.974,139.7194222994252,-12.31300248969403,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-11,25,30.531,34.952,139.8762963086431,-12.46952677566577,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-12,50,25.674,34.82,140.1139969089186,-12.6558915910512,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-13,61.5,25.614,34.795,140.2687412929485,-12.76992403671413,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-14,62.5,25.432,34.769,140.3726874411664,-12.78626219640706,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-15,60,25.524,34.657,140.5685257696891,-12.94465259904262,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-16,50,25.584,34.652,140.6188332739448,-12.93203911067001,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-17,41.5,26.586,34.44,140.8373441083504,-13.19873569725621,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-18,18,28.035,34.345,140.949247854728,-13.20025318042905,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-19,27,28.116,34.236,141.1198135159952,-13.26089116565839,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-20,8,30.192,33.457,141.3061773481082,-13.12669601001882,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-21,30.5,27.94,33.303,141.3590167888384,-12.98265047701713,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-22,14,30.247,33.266,141.4285925105914,-12.84854344369947,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-23,27.5,27.4,32.106,141.3975390298506,-12.72513294562233,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-24,33.5,27.216,31.644,141.3006060481634,-12.73066357184831,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-25,2,31.218,31.376,141.2341968062574,-12.8309698085195,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-26,22,27.291,31.172,141.2400591884736,-12.91492968670636,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-27,5,30.787,30.22,141.271031569237,-13.14039129981735,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-28,5,30.376,29.452,141.2178914660251,-13.312493254486,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-29,2,30.304,28.77,141.0268679846541,-13.49143630480138,Natator depressus,Flatback Turtle,Female
Rosemary,2022-11-30,26.5,28.806,28.673,140.9127769972297,-13.55992629017154,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-01,22,28.764,28.564,140.6726642720436,-13.67657402355842,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-02,50,26.782,27.887,140.4909647818897,-13.73219974356585,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-03,25,27.961,27.734,140.4160404328333,-13.72655090676435,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-04,15,30.513,27.627,140.3409694272817,-13.84408934122297,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-05,25,30.326,27.414,140.3644213868654,-14.00192026520056,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-06,24.5,29.937,27.562,140.4874666951978,-14.23060056864435,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-07,18,30.399,26.899,140.6650088132146,-14.23032702955377,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-08,2,30.7,26.606,140.7334121255317,-14.32756513006547,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-09,23,30.255,25.938,140.7835950553535,-14.37344782579131,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-10,20.5,30.299,25.393,140.8737008744228,-14.52543197146436,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-11,22,30.131,25.264,140.9588582148835,-14.61242225753372,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-12,5,30.489,24.689,141.0005801688266,-14.42519919673434,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-13,25.5,30.394,24.058,140.9748403689749,-14.36787275855886,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-14,18,30.321,23.644,140.933839924571,-14.34621532439192,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-15,20,30.463,23.683,140.9634083802156,-14.30066237334813,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-16,20,30.695,22.288,141.1080863618763,-14.10591066098374,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-17,22,30.685,22.373,141.12834032028061,-14.03138424368473,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-18,5,30.861,21.571,141.1755958603671,-14.00013231523412,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-19,9,30.845,21.587,141.1852976769925,-13.96836027018554,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-20,13,30.552,21.5,141.2006172741048,-13.88812432028415,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-21,5,30.694,21.5,141.1995709849059,-13.88169838778119,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-22,3,30.437,21.5,141.1764905442764,-13.72839154658502,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-23,10,30.384,21.5,141.0691045388605,-13.7814151508922,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-24,10,30.106,21.5,140.84471628011,-13.66808557234829,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-25,20,29.964,21.5,140.8160183993949,-13.6146934296606,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-26,4,30.642,21.5,140.6704221223536,-13.64153729990919,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-27,15,30.432,21.5,140.5462547333445,-13.58409524095844,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-28,59,27.18,21.5,140.4618111006249,-13.53372664264316,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-29,40,27.021,21.5,140.334198530231,-13.48250460273008,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-30,30,29.843,21.5,140.1510419996847,-13.42161486397637,Natator depressus,Flatback Turtle,Female
Rosemary,2022-12-31,10,29.677,21.5,140.0744981523488,-13.41228817866471,Natator depressus,Flatback Turtle,Female
Rosemary,2023-01-01,60,26.252,21.5,139.8804424511451,-13.30153271580587,Natator depressus,Flatback Turtle,Female
Rosemary,2023-01-02,35,29.163,21.5,139.8706461754888,-13.21702807070676,Natator depressus,Flatback Turtle,Female
Rosemary,2023-01-03,30,28.876,21.5,139.8402008198085,-12.99673958752946,Natator depressus,Flatback Turtle,Female
Rosemary,2023-01-04,20,28.867,21.5,139.8249471659529,-12.97516138125818,Natator depressus,Flatback Turtle,Female
Rosemary,2023-01-05,40,26.362,21.5,139.7578570113771,-12.88300158294457,Natator depressus,Flatback Turtle,Female
Rosemary,2023-01-06,30.5,28.151,21.5,139.6159905006639,-12.81810732971731,Natator depressus,Flatback Turtle,Female
Rosemary,2023-01-07,25,28.609,21.5,139.6177614986177,-12.81931132180527,Natator depressus,Flatback Turtle,Female
Rosemary,2023-01-08,34,28.306,21.5,139.5331561542188,-12.76455611155441,Natator depressus,Flatback Turtle,Female
