DeployID,Ptt,DepthSensor,Source,Instr,Date,Hours,LonMethod,Type,LocationQuality,Latitude,Longitude,PerCentMLTime,MLTave,MLTmin,MLTmax,MLDExtreme,SSTAve,SSTmin,SSTmax,TempMin,DepthMin,DepthMax
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 23-Sep-2023,24,,interval,,,,100.000000,19.300000,18.500000,19.700001,67.250000,,,,18.50,21.00,68.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 24-Sep-2023,24,,interval,,,,100.000000,19.500000,18.900000,19.799999,47.250000,,,,18.90,20.00,47.00
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 25-Sep-2023,24,,interval,,,,99.000000,19.600000,19.299999,19.900000,51.250000,,,,19.30,21.00,51.00
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 26-Sep-2023,24,,interval,,,,99.000000,19.400000,18.600000,19.799999,57.250000,,,,18.60,28.50,58.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 27-Sep-2023,24,,interval,,,,100.000000,19.300000,19.200001,19.600000,53.250000,,,,19.20,33.50,53.00
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 28-Sep-2023,24,,interval,,,,100.000000,19.600000,19.299999,19.900000,54.250000,,,,19.30,32.50,54.00
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 29-Sep-2023,24,,interval,,,,97.000000,19.400000,18.700001,19.799999,51.250000,,,,18.70,19.00,51.00
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 30-Sep-2023,24,,interval,,,,81.000000,19.100000,18.600000,19.799999,53.250000,,,,18.60,18.00,53.00
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 01-Oct-2023,24,,interval,,,,85.000000,18.200000,18.000000,19.400000,79.250000,,,,18.00,23.00,78.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 04-Oct-2023,24,,interval,,,,95.000000,18.300000,18.000000,19.200001,68.250000,,,,18.00,17.00,68.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 05-Oct-2023,24,,interval,,,,50.000000,18.400000,18.200001,19.799999,68.250000,,,,18.20,24.50,72.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 06-Oct-2023,24,,interval,,,,32.000000,18.300000,18.200001,19.500000,64.250000,,,,18.10,19.00,66.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 07-Oct-2023,24,,interval,,,,97.000000,18.400000,17.900000,18.700001,69.250000,,,,17.90,27.50,76.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 08-Oct-2023,24,,interval,,,,95.000000,18.200000,18.000000,18.700001,68.250000,,,,18.00,20.00,70.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 09-Oct-2023,24,,interval,,,,95.000000,18.200000,17.900000,18.700001,127.250000,,,,17.90,9.00,129.50
