"Date","Ptt","Latitude","Longitude","day.at.liberty","month","DistfromStart","bathy_depth","DistToShelf","DistToShore"
2019-03-13,47618,-22.25,-160.325,40,"Mar",728.292300317148,-4533.62255859375,121.656114132822,122.499906239199
2019-03-14,47618,-22.5333333333333,-159.866666666667,41,"Mar",784.975859610595,-4388.8076171875,139.584657071844,140.54936971852
2019-03-15,47618,-22.815,-159.55,42,"Mar",830.10402408585,-4857.43994140625,171.509309637669,172.565027503628
2019-03-16,47618,-23.195,-159.335,43,"Mar",877.744875175796,-4554.1826171875,198.817524829535,199.737930653902
2019-03-17,47618,-23.53,-159.2,44,"Mar",917.462491406211,-4622.3583984375,217.648673935951,218.429083229011
2019-03-18,47618,-23.82,-159.07,45,"Mar",952.320811425512,-4748.75,237.220686881534,237.829161300962
2019-03-19,47618,-24.08,-158.95,46,"Mar",983.698088545313,-4488.8701171875,257.359195070405,257.857073249829
2019-03-20,47618,-24.215,-158.915,47,"Mar",999.123751872676,-4713.75244140625,269.704248573294,270.104285804812
2019-03-21,47618,-24.305,-159.05,48,"Mar",1016.07805635157,-4885.4951171875,284.256492133434,284.743562239156
2019-03-22,47618,-24.35,-159.229166666667,49,"Mar",1034.90847129951,-5010.87255859375,296.584412015992,297.1366160524
2019-03-23,47618,-24.33125,-159.35,50,"Mar",1047.32648287471,-4310.87744140625,300.526347481778,301.121773123644
2019-03-24,47618,-24.3125,-159.40625,51,"Mar",1053.39542747402,-4305.12744140625,301.564091591105,302.180926673224
2019-03-25,47618,-24.22,-159.34,52,"Mar",1065.67931565703,-4850.56005859375,289.323822719084,289.938444018227
2019-03-26,47618,-24.075,-159.26,53,"Mar",1083.73058542968,-4787.49755859375,271.356181984865,271.975131599623
2019-03-27,47618,-24.15,-159.225,54,"Mar",1092.79522396862,-4685.56005859375,276.811031261963,277.401608851575
2019-03-28,47618,-24.4625,-159.25,55,"Mar",1127.6358713949,-4755.75,308.67366803007,309.212276839661
2019-03-29,47618,-24.675,-159.18125,56,"Mar",1152.26641136462,-5064.8759765625,327.133882597852,327.580143416424
2019-03-30,47618,-24.765,-159.065,57,"Mar",1167.69438016862,-4944.43603515625,331.97150674374,332.29292907194
2019-03-31,47618,-24.6875,-158.98125,58,"Mar",1179.76972134905,-4952.68505859375,320.98421880821,321.263105592073
2019-04-01,47618,-24.61875,-158.7125,59,"Apr",1207.98481542817,-4761.25,305.29470104171,305.561365936807
2019-04-02,47618,-24.73125,-158.3875,60,"Apr",1243.12534273333,-4746.56494140625,310.286025776726,310.559384634192
2019-04-03,47618,-24.875,-158.179166666667,61,"Apr",1269.53939572069,-5006.6201171875,323.458656884147,323.734463045765
2019-04-04,47618,-24.825,-158.06,62,"Apr",1282.78643019076,-4876.2451171875,317.035605614561,317.354611393661
2019-04-05,47618,-24.86875,-158.06875,63,"Apr",1287.73067587544,-4898.125,321.924817435388,322.24378913865
2019-04-06,47618,-24.675,-158.125,64,"Apr",1310.01065930936,-4931.1826171875,300.915929561844,301.204338400639
2019-04-07,47618,-24.78125,-158.20625,65,"Apr",1324.39545101921,-4784.3076171875,313.378185906577,313.653694970877
2019-04-08,47618,-24.8208333333333,-158.291666666667,66,"Apr",1334.07585283226,-4736.8701171875,318.712686096906,318.987410768628
2019-04-09,47618,-24.98,-158.395,67,"Apr",1354.6149959422,-4864.4326171875,337.621045057432,337.894867513033
2019-04-10,47618,-24.93,-158.545,68,"Apr",1370.72670914537,-4998.43994140625,334.811340816173,335.082931719458
2019-04-11,47618,-24.905,-158.615,69,"Apr",1378.3134532944,-4945.5,333.585093471838,333.855412583868
2019-04-12,47618,-24.84375,-158.725,70,"Apr",1391.33357261939,-4981.18505859375,329.657065926384,329.924958957887
2019-04-13,47618,-24.84,-158.895,71,"Apr",1408.49268175578,-4836.81005859375,334.114104320046,334.378170443989
2019-04-14,47618,-24.8875,-159.025,72,"Apr",1422.63173100586,-5061.375,343.332160531309,343.593457891862
2019-04-15,47618,-25.015,-158.965,73,"Apr",1438.04561424885,-4853.12255859375,354.734755593614,354.998639192146
2019-04-16,47618,-25.29,-158.865,74,"Apr",1470.23812541197,-4994.3076171875,381.061990602378,381.329721366502
2019-04-17,47618,-25.69,-158.685,75,"Apr",1518.24539373357,-5142.8076171875,420.13443561165,420.406392649157
2019-04-18,47618,-25.93125,-158.8625,76,"Apr",1550.42188151335,-4825.25244140625,449.964297539995,450.23473629225
2019-04-19,47618,-25.8,-159.03,77,"Apr",1572.64501576985,-5084.4951171875,439.932578200525,440.20011122655
2019-04-20,47618,-25.46,-159.12,78,"Apr",1611.51307566573,-5207.076171875,406.44327211073,406.707244514549
2019-04-21,47618,-25.3375,-159.15625,79,"Apr",1625.61273520581,-5027.68603515625,394.744374862199,395.006675823192
2019-04-22,47618,-25.365,-159.28,80,"Apr",1638.41843198367,-5091.84716796875,401.82326992868,402.119731314149
2019-04-23,47618,-25.185,-159.35,81,"Apr",1659.63503464773,-4968.6201171875,385.816855603969,386.2124552924
2019-04-24,47618,-25.125,-159.48,82,"Apr",1674.32221773828,-4894.12255859375,384.945019480318,385.44711315577
2019-04-25,47618,-25.1875,-159.783333333333,83,"Apr",1705.63319799869,-5206.71728515625,404.767361348674,405.340054608834
2019-04-26,47618,-25.35,-160.09,84,"Apr",1741.37409296454,-5197.31982421875,435.668120348801,436.287107634542
2019-04-27,47618,-25.375,-160.335,85,"Apr",1766.14753727217,-5193.6826171875,451.136587657613,451.801781060485
2019-04-28,47618,-25.345,-160.54,86,"Apr",1787.0142158071,-5213.37255859375,457.616631196207,458.570073572393
2019-04-29,47618,-25.32,-160.525,87,"Apr",1790.17655047178,-5105.56103515625,454.623529195806,455.577334396148
2019-04-30,47618,-25.2625,-160.275,88,"Apr",1816.11118643189,-4994.59521484375,437.411595842609,438.081170372679
2019-05-01,47618,-25.2083333333333,-159.9,89,"May",1854.30762320401,-5197.61279296875,412.474933591811,413.072061220641
2019-05-02,47618,-25.015,-159.67,90,"May",1885.90544228855,-5421.9951171875,382.525670971271,383.095492396066
2019-05-03,47618,-24.735,-159.635,91,"May",1917.23958223488,-4357.81005859375,353.674914495456,354.280117217462
2019-05-04,47618,-24.485,-159.62,92,"May",1945.07964315042,-4564,329.146688935341,329.792452503802
2019-05-05,47618,-24.33,-159.605,93,"May",1962.38165242192,-4776.87744140625,313.886042366383,314.557950678832
2019-05-06,47618,-24.4875,-160.175,94,"May",2022.69630224119,-4905.06005859375,358.135587462669,359.096713941218
2019-05-07,47618,-24.7875,-160.7125,95,"May",2086.44672664117,-5008.375,400.907884728364,401.896791514163
