Date,Ptt,Latitude,Longitude,day.at.liberty,month,DistfromStart,bathy_depth,DistToShelf,DistToShore,MinTempFromSeries,MeanTempFromSeries,MaxTempFromSeries,MinDepthFromSeries,MaxDepthFromSeries,MeanDepthFromSeries,MinTemp,MaxTemp,MinDepth,MaxDepth,MeanTempPDT,MeanDepthPDT,DistTravelled
2019-02-28,47618,-20.7125,-159.020833333333,27,Feb,366.968601914684,-4682.12744140625,92.1700070225086,93.1757258735514,24.7,27.97013888888889,28.7,2,91,30.35069444444444,23.7,28.8,1,113,26.375000000000004,45.388888888888886,3.338467565008117
2019-03-01,47618,-20.74,-159.02,28,Mar,370.027690282522,-4711.3076171875,90.4646354202742,91.4490166063608,14.6,27.224305555555556,28.6,1.5,374,37.625,14.4,28.8,0,395,21.712500000000002,157.38888888888889,3.045857972815919
2019-03-02,47618,-20.8,-159.075,29,Mar,378.814619302944,-4833.75,81.996607160987793,82.9601272889067,23.8,27.363541666666666,28.8,1,85,32.01736111111112,22.9,29.9,0,127,26.025000000000002,50.72222222222222,8.770796846308349
2019-03-03,47618,-21.1,-159.15,30,Mar,413.070212076292,-4815.2392578125,60.9732830172309,61.9556325840206,24.3,27.852777777777778,28.8,0.5,95.5,27.427083333333343,24,28.9,0,102,26.5,43.611111111111114,34.118560199698976
2019-03-04,47618,-21.3208333333333,-159.154166666667,31,Mar,437.629556821346,-4612.78955078125,58.8100253729994,59.7869995236984,25.9,28.23263888888889,28.7,1.5,55,30.48958333333334,24.5,28.7,0,101,26.774999999999995,43.611111111111114,24.454443406099298
2019-03-05,47618,-21.4375,-159.15625,32,Mar,450.604091636168,-4511.54248046875,61.5087601355099,62.4393863169094,22.5,27.927777777777777,28.3,1,153,30.80555555555556,22.1,28.5,0,161,25.5875,65.83333333333333,12.919372322288357
2019-03-06,47618,-21.2916666666667,-159.258333333333,33,Mar,469.961379226717,-4658.13525390625,47.7289308527309,48.7099378673134,19.1,27.52916666666667,28.3,2,284.5,38.94097222222223,18.4,28.4,0,300,23.3125,130.72222222222223,19.308591881430623
2019-03-07,47618,-21.13125,-159.0375,34,Mar,498.982365040691,-4655.1201171875,71.6726369437815,72.6732949883612,7.8,27.369444444444444,28.2,0.5,590.5,40.083333333333336,7.3,28.3,0,623,17.749999999999996,265.8333333333333,29.0024083567792
2019-03-08,47618,-21.135,-158.88,35,Mar,515.323040489251,-4766.43994140625,87.7842733182339,88.7902296223509,26,28.079166666666666,28.3,1,49.5,16.770833333333336,25,28.4,0,65,27.339999999999996,22.75,16.36604111750666
2019-03-09,47618,-21.345,-158.97,36,Mar,540.468075295677,-4677.8125,78.0989756885384,79.0753433912666,24.5,27.363194444444446,28,1,84.5,23.350694444444436,24.3,28.1,0,89,26.41428571428571,36.0625,25.05789768669644
2019-03-10,47618,-21.66,-159.175,37,Mar,581.414945295119,-4093.02709960938,71.6804861387965,72.5614230972648,24.8,27.10763888888889,27.5,1,60.5,19.34027777777776,23.4,27.6,0,89,25.985714285714288,36.0625,40.83726567173939
2019-03-11,47618,-22.0041666666667,-159.341666666667,38,Mar,623.373416952593,-4634.43505859375,90.463588770387,91.5730181971106,24.4,26.964583333333334,27.3,6,76.5,32.35416666666667,22,27.2,0,124,25,51.611111111111114,41.82317574624994
2019-03-12,47618,-22.1125,-159.75,39,Mar,667.144679670917,-4724.06005859375,92.505865432309193,93.4738366278581,22.8,26.552083333333332,27.1,1,90,33.75347222222223,21.3,27.2,0,160,24.537499999999998,64.94444444444444,43.82193765087734
2019-03-13,47618,-22.25,-160.325,40,Mar,728.292300317148,-4533.62255859375,121.656114132822,122.499906239199,23.7,26.885416666666668,27.3,1.5,87,29.69097222222222,23.2,27.3,0,107,25.66249999999999,43.611111111111114,61.22340567734426
2019-03-14,47618,-22.5333333333333,-159.866666666667,41,Mar,784.975859610595,-4388.8076171875,139.584657071844,140.54936971852,21.3,26.62361111111111,27.2,1,135.5,30.284722222222232,19.9,27.3,0,204,23.775000000000002,84.5,56.67436834499137
2019-03-15,47618,-22.815,-159.55,42,Mar,830.10402408585,-4857.43994140625,171.509309637669,172.565027503628,Inf,NA,-Inf,2,83.5,32.541666666666664,22.1,27.1,0,116,24.962500000000002,48.94444444444444,45.07717778661424
2019-03-16,47618,-23.195,-159.335,43,Mar,877.744875175796,-4554.1826171875,198.817524829535,199.737930653902,22,25.98125,26.7,1,84.5,25.796875,21.7,26.9,0,88,NA,NA,47.50562388299596
2019-03-17,47618,-23.53,-159.2,44,Mar,917.462491406211,-4622.3583984375,217.648673935951,218.429083229011,19.5,25.670833333333334,26.5,1,168,35.743055555555564,19.4,26.5,0,179,23.0875,72.05555555555556,39.58549014969744
2019-03-18,47618,-23.82,-159.07,45,Mar,952.320811425512,-4748.75,237.220686881534,237.829161300962,22.5,26.020833333333332,26.5,1.5,82.5,27.39583333333333,NA,NA,NA,NA,24.957142857142856,36.0625,34.74833130045814
2019-03-19,47618,-24.08,-158.95,46,Mar,983.698088545313,-4488.8701171875,257.359195070405,257.857073249829,22.5,25.854166666666668,26.5,1,105,28.045138888888875,NA,NA,NA,NA,22.9125,77.38888888888889,31.280478125524127
2019-03-20,47618,-24.215,-158.915,47,Mar,999.123751872676,-4713.75244140625,269.704248573294,270.104285804812,22.5,26.231944444444444,26.9,1,74.5,18.90625,NA,NA,NA,NA,24.2375,44.5,15.369958818280649
2019-03-21,47618,-24.305,-159.05,48,Mar,1016.07805635157,-4885.4951171875,284.256492133434,284.743562239156,24.5,26.5625,26.8,1,48.5,11.328125,NA,NA,NA,NA,25.08333333333333,29.785714285714285,16.949995313473813
2019-03-22,47618,-24.35,-159.229166666667,49,Mar,1034.90847129951,-5010.87255859375,296.584412015992,297.1366160524,22.3,26.021527777777777,26.5,1,80.5,27.854166666666686,21.6,27,0,85,24.814285714285713,36.0625,18.85483447997551
