"","Date","Ptt","Latitude","Longitude","day.at.liberty","month","DistfromStart","bathy_depth","DistToShelf","DistToShore","MinTemp","MaxTemp","MinDepth","MaxDepth","MeanTempPDT","MeanDepthPDT","DistTravelled","date","rs_gsla","rs_vcur","rs_ucur","rs_current_velocity","rs_current_bearing","rs_sst_interpolated","degree_angle","radius"
"99","2023-03-12",227150,-32.2625,159.38125,97,"Mar",620.902610496818,-3434.75244140625,44.0121937081068,78.951585744808,20.3,23.7,46,75,21.6333333333333,26.9285714285714,5.09567158437726,2023-03-12,-0.0186165748554164,-0.212869851830376,0.17929897914028,0.278319416748154,319.89276911428,23.1900000000001,130.10723088572,2.27079955960827
"100","2023-03-13",227150,-32.3,159.375,98,"Mar",625.113611598553,-3508.6826171875,47.9527966397162,82.6279965874146,20.1,23.8,30,78,22.725,24.9444444444444,4.19991417112014,2023-03-13,0.00778233866906749,-0.249645216913616,0.17441594311263,0.304538430316626,325.059722620152,23.1600000000001,124.940277379848,2.18061920863334
"101","2023-03-14",227150,-32.325,159.375,99,"Mar",627.893484764668,-3547.9326171875,50.6743450000604,85.236120729964,20.6,23.8,38,85,22.1,28.5,2.77230732037959,2023-03-14,-0.00854531304838783,-0.256969770955091,0.158698670898631,0.302024388633938,328.301467861569,23.1300000000001,121.698532138431,2.12404008065976
"102","2023-03-15",227150,-32.35625,159.3875,100,"Mar",631.561397262588,-3556.5625,54.3002476161764,88.8955770277342,19.7,23.7,47,83,21.8,28.0714285714286,3.65975379591107,2023-03-15,0.011139425938077,-0.227366365037462,0.129247859856866,0.26153484132698,330.383658736713,23.6200000000001,119.616341263287,2.08769899423351
"103","2023-03-16",227150,-32.3833333333333,159.4,101,"Mar",634.793653171214,-3542.50244140625,57.4780276216204,92.1193816857064,19.4,24.1,15,76,22.52,22.9545454545455,3.22553677273833,2023-03-16,0.0384539087177453,-0.226755985534006,0.0947614179115865,0.245760052287007,337.319930309858,23.76,112.680069690142,1.96663821746964
"104","2023-03-17",227150,-32.425,159.4,102,"Mar",639.426775114742,-3556.24755859375,62.0081434357922,96.486005519909,21.3,23.7,41,73,22.6333333333333,25.7857142857143,4.6205794500577,2023-03-17,0.026856698152076,-0.166633604443563,0.0894205972563441,0.189110553231529,331.780656916515,23.9100000000001,118.219343083485,2.0633167763516
"105","2023-03-17",227150,-32.425,159.4,102,"Mar",1144.03156145797,-3556.24755859375,62.0081434357922,96.486005519909,21.3,23.7,41,73,22.6333333333333,25.7857142857143,0,2023-03-17,0.026856698152076,-0.166633604443563,0.0894205972563441,0.189110553231529,331.780656916515,23.9100000000001,118.219343083485,2.0633167763516
"106","2023-03-18",227150,-32.45625,159.4,103,"Mar",642.901616572384,-3690.49755859375,65.4140550836346,99.7760040822374,20.4,22.9,43,70,22.1,25.7857142857143,3.46545466876389,2023-03-18,0.0306715700486778,-0.161903163291777,0.0849953458562861,0.182857439282938,332.301585539831,24.1600000000001,117.698414460169,2.05422485670685
"107","2023-03-19",227150,-32.49375,159.375,104,"Mar",647.685668001391,-3860.8076171875,69.10539035964,103.065652738309,20.8,24.4,20,74,23.125,23.1666666666667,4.7766634019101,2023-03-19,0.0387590984694734,-0.129858239360322,0.0917095203943052,0.158977352037063,324.769192451223,24.3500000000001,125.230807548777,2.18568991665753
"108","2023-03-20",227150,-32.56875,159.375,105,"Mar",656.025287499734,-3942.37744140625,77.3283957991289,111.083405447586,19.1,24.7,1,104,22.725,25.4411764705882,8.31721113630678,2023-03-20,0.0227366365037462,-0.0555445348145209,0.0544763706834724,0.0778001947979864,315.556252227081,24.4300000000001,134.443747772919,2.34648605735823
"109","2023-03-21",227150,-32.5875,159.3625,106,"Mar",658.416654121622,-4024.49755859375,79.2336413834679,112.80515944003,19.7,24.3,22,70,22.725,21.3888888888889,2.3877017172411,2023-03-21,0.0393694779729297,-0.0460836525109487,0.0642424427387728,0.0790619660632998,305.653374743902,24.1000000000001,144.346625256098,2.51932387486131
"110","2023-03-22",227150,-32.6125,159.3875,107,"Mar",662.051518748095,-3876.37744140625,82.2989519706645,116.073935387271,20.2,24.1,32,80,22.075,24.9444444444444,3.63234550097062,2023-03-22,0.0425739703660751,-0.024567775014115,0.0555445348145209,0.0607352526701396,293.860175191342,24.1600000000001,156.139824808658,2.72515403639821
"111","2023-03-23",227150,-32.6625,159.425,108,"Mar",668.62728280036,-3738.3076171875,88.3432272660134,122.349962997696,21,24.4,32,80,23.05,25.8333333333333,6.56715871756741,2023-03-23,0.0315871393038622,-0.0253307493934354,0.0486777654006378,0.0548741442687953,297.491394750082,23.84,152.508605249918,2.66177729923538
"112","2023-03-24",227150,-32.7,159.45,109,"Mar",673.408695223417,-3659.75,92.8490818223122,126.993987636552,21.2,24.4,42,68,22.7666666666667,24.6428571428571,4.77414093366767,2023-03-24,0.0724825660354325,-0.00961347717943632,0.00900309767598004,0.0131709798892406,316.877877447285,23.82,133.122122552715,2.32341934578827
"113","2023-03-25",227150,-32.75,159.44375,110,"Mar",678.999098239626,-3581.75,98.2048768821054,132.16990299863,21.4,24.5,30,74,22.725,24.9444444444444,5.57584557212044,2023-03-25,0.0500511192834145,-0.0547815604352006,0.00900309767598004,0.055516440190981,350.667130304444,23.7300000000001,99.332869695556,1.73368563164195
"114","2023-03-26",227150,-32.79375,159.40625,111,"Mar",684.99567056089,-3390.81005859375,102.445961520464,136.000085393441,20.8,23.9,43,76,22.025,28.5,5.99044638635882,2023-03-26,0.069125478766423,-0.091251735766713,0.0167854363450475,0.0927827039578587,349.57715709417,23.3600000000001,100.42284290583,1.75270925291976
"115","2023-03-27",227150,-32.8375,159.3875,112,"Mar",690.166381011149,-3340.12744140625,107.04121021122,140.343886831565,20.7,24.5,35,75,22.625,24.9444444444444,5.15987577960751,2023-03-27,0.0372331497108327,-0.113377992767003,0.0375383394625608,0.119430717043318,341.680800069134,23.46,108.319199930866,1.89052668191963
"116","2023-03-28",227150,-32.86875,159.375,113,"Mar",693.832154608314,-3375.24755859375,110.362680649172,143.496656611238,21.8,24.6,40,78,23.125,28.5,3.65787960877761,2023-03-28,0.0488303602765019,-0.112615018387683,0.0230418262554743,0.114948110570142,348.436482029556,23.39,101.563517970444,1.77261778849268
"117","2023-03-29",227150,-32.9125,159.40625,114,"Mar",699.504891203967,-3250.87744140625,115.507153293541,148.844530154217,21.5,24.7,31,79,23.45,25.8333333333333,5.66494456052024,2023-03-29,0.06225870935254,-0.0279248622831245,0.00930828742770818,0.0294353893870678,341.565051177078,23.3100000000001,108.434948822922,1.89254688119154
"118","2023-03-30",227150,-32.94375,159.45,115,"Mar",704.866569006036,-3129.62744140625,119.497303650373,153.131430702462,18.5,24,43,175,NA,NA,5.36235094617153,2023-03-30,0.0654632017456854,-0.0369279599591046,0.00320449239314544,0.0370667370864898,355.04047606556,23.6300000000001,94.95952393444,1.65735634878234
"119","2023-03-31",227150,-32.9875,159.46875,116,"Mar",710.036275786777,-3162.62255859375,124.562698443765,158.259047215332,21.6,24,32,78,23.025,25.8333333333333,5.15898015217877,2023-03-31,0.0573756733248897,-0.0285352417865808,0.0114446156898051,0.030744743487399,338.145783358542,23.5300000000001,111.854216641458,1.95222436263248
"120","2023-04-01",227150,-33.0166666666667,159.5,117,"Apr",714.396400417854,-3156.87255859375,128.243504944983,162.105188581529,22.3,23.9,20,70,23.3,22.2777777777778,4.35795684066823,2023-04-01,0.042421375490211,0.0125127798208536,0.0352494163245998,0.0374044250065434,250.456239049318,23.7,199.543760950682,3.48269563040189
"121","2023-04-02",227150,-33.0666666666667,159.525,118,"Apr",720.424754974362,-3059.25244140625,134.113568593744,168.059419022861,21.2,23.8,45,78,22.7,28.0714285714286,6.01691062974458,2023-04-02,0.0433369447453954,0.00747714891733936,0.0706514275250637,0.0710459848778339,263.958787312051,23.4800000000001,186.041212687949,3.24703170580776
