DeployID,Ptt,DepthSensor,Source,Instr,Day,Time,LocationQuality,Latitude,Longitude,Depth,DRange,Temperature,TRange,Activity,ARange
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,22:10:00,,,,67.5,7.75,25.3,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,22:20:00,,,,129.0,15.50,22.7,0.35,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,22:30:00,,,,210.5,16.75,21.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,22:40:00,,,,183.0,16.25,21.7,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,22:50:00,,,,129.0,15.50,23.8,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,23:00:00,,,,81.5,8.00,24.8,0.35,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,23:10:00,,,,108.5,8.50,23.8,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,23:20:00,,,,129.0,15.50,22.7,0.35,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,23:30:00,,,,108.5,8.50,23.8,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,23:40:00,,,,108.5,8.50,23.8,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,23:50:00,,,,156.0,15.75,22.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,00:00:00,,,,151.5,14.25,22.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,00:10:00,,,,80.5,7.25,25.0,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,00:20:00,,,,93.5,7.25,24.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,00:30:00,,,,126.0,14.00,23.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,00:40:00,,,,93.5,7.25,24.6,0.25,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,00:50:00,,,,126.0,14.00,23.7,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,01:00:00,,,,106.5,7.50,24.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,01:10:00,,,,126.0,14.00,23.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,01:20:00,,,,126.0,14.00,23.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,01:30:00,,,,93.5,7.25,24.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,01:40:00,,,,126.0,14.00,22.7,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,01:50:00,,,,93.5,7.25,24.6,0.25,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,02:00:00,,,,151.5,14.25,22.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,02:10:00,,,,126.0,14.00,22.7,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,02:20:00,,,,80.5,7.25,25.0,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,02:30:00,,,,106.5,7.50,24.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,02:40:00,,,,106.5,7.50,23.7,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,02:50:00,,,,126.0,14.00,23.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,03:00:00,,,,93.5,7.25,24.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,03:10:00,,,,106.5,7.50,23.7,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,03:20:00,,,,126.0,14.00,23.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,03:30:00,,,,80.5,7.25,25.0,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,03:40:00,,,,106.5,7.50,24.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,03:50:00,,,,106.5,7.50,23.7,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,04:00:00,,,,106.5,7.50,23.7,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,04:10:00,,,,126.0,14.00,23.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,04:20:00,,,,177.5,14.50,22.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,04:30:00,,,,203.0,14.75,21.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,04:40:00,,,,151.5,14.25,22.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,04:50:00,,,,203.0,14.75,21.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,05:00:00,,,,203.0,14.75,21.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,05:10:00,,,,151.5,14.25,22.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,05:20:00,,,,126.0,14.00,23.7,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,05:30:00,,,,126.0,14.00,23.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,05:40:00,,,,203.0,14.75,21.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,05:50:00,,,,203.0,14.75,21.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,06:00:00,,,,203.0,14.75,21.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,06:10:00,,,,177.5,14.50,21.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,06:20:00,,,,203.0,14.75,21.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,06:30:00,,,,177.5,14.50,21.7,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,06:40:00,,,,126.0,14.00,23.7,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,06:50:00,,,,151.5,14.25,23.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,07:00:00,,,,177.5,14.50,21.7,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,07:10:00,,,,203.0,14.75,21.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,07:20:00,,,,203.0,14.75,20.7,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,07:30:00,,,,203.0,14.75,21.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,07:40:00,,,,106.5,7.50,24.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,07:50:00,,,,24.0,1.75,28.0,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,08:00:00,,,,87.5,9.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,08:10:00,,,,141.0,17.25,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,08:20:00,,,,141.0,17.25,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,08:30:00,,,,141.0,17.25,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,08:40:00,,,,172.0,17.75,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,08:50:00,,,,203.0,18.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,09:00:00,,,,203.0,18.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,09:10:00,,,,203.0,18.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,09:20:00,,,,203.0,18.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,09:30:00,,,,203.0,18.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,09:40:00,,,,172.0,17.75,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,09:50:00,,,,103.0,9.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,10:00:00,,,,103.0,9.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,10:10:00,,,,118.0,9.25,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,10:20:00,,,,172.0,17.75,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,10:30:00,,,,172.0,17.75,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,10:40:00,,,,118.0,9.25,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,10:50:00,,,,103.0,9.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,11:00:00,,,,141.0,17.25,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,11:10:00,,,,103.0,9.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,11:20:00,,,,118.0,9.25,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,11:30:00,,,,118.0,9.25,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,11:40:00,,,,172.0,17.75,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,11:50:00,,,,172.0,17.75,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,12:00:00,,,,172.0,17.75,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,12:10:00,,,,203.0,18.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,12:20:00,,,,203.0,18.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,12:30:00,,,,234.0,18.50,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,12:40:00,,,,203.0,18.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,12:50:00,,,,103.0,9.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,13:00:00,,,,103.0,9.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,13:10:00,,,,118.0,9.25,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,13:20:00,,,,172.0,17.75,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,13:30:00,,,,172.0,17.75,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,13:40:00,,,,172.0,17.75,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,13:50:00,,,,103.0,9.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,14:00:00,,,,118.0,9.25,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,14:10:00,,,,103.0,9.00,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,14:20:00,,,,118.0,9.25,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,14:30:00,,,,172.0,17.75,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,14:40:00,,,,141.0,17.25,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,14:50:00,,,,172.0,17.75,,,,
47622,47622,0.500000,Transmission,MiniPAT,27-Feb-2019,15:00:00,,,,172.0,17.75,,,,
