Ptt,Instr,Date,MinTemp,MaxTemp,MinDepth,MaxDepth,MaxDeltaTilt,AvgMinMaxTilt,DeltaLight
47622,MiniPAT,07/02/2019,10.1,28.8,-1.000000,388.000000,,,188.000000
47622,MiniPAT,07/03/2019,9.8,28.9,-1.000000,392.000000,,,191.000000
47622,MiniPAT,07/04/2019,8.6,28.9,-1.000000,445.000000,,,182.000000
47622,MiniPAT,07/05/2019,8.5,29.2,-1.000000,469.000000,,,193.000000
47622,MiniPAT,07/06/2019,12.5,28.6,-1.000000,271.000000,,,161.000000
47622,MiniPAT,07/07/2019,9.9,28.6,-1.000000,380.000000,,,151.000000
47622,MiniPAT,07/16/2019,8.9,29.2,-1.000000,456.000000,,,180.000000
47622,MiniPAT,07/17/2019,28.9,29.0,-2.000000,1.000000,,,146.000000
47622,MiniPAT,07/18/2019,29.0,29.5,-2.000000,1.000000,,,157.000000
47622,MiniPAT,07/19/2019,29.5,29.6,-1.000000,1.000000,,,23.000000
