DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
47622,47622,0.500000,Transmission,MiniPAT,5,00:00:00 05-May-2019,08:00:00 05-May-2019,,,,0.0,0.00,568.0,7.75,7.6,0.00,29.4,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,4,08:00:00 05-May-2019,16:00:00 05-May-2019,,,,0.0,0.00,220.0,1.75,14.7,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,16:00:00 05-May-2019,00:00:00 06-May-2019,,,,0.0,0.00,272.0,3.75,11.6,0.00,29.4,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,00:00:00 06-May-2019,08:00:00 06-May-2019,,,,,,,,13.1,0.00,29.4,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,16:00:00 06-May-2019,00:00:00 07-May-2019,,,,0.0,0.00,264.0,3.75,11.8,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,00:00:00 07-May-2019,08:00:00 07-May-2019,,,,,,,,9.1,0.00,29.4,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,08:00:00 07-May-2019,16:00:00 07-May-2019,,,,0.0,0.00,244.0,1.75,12.9,0.00,29.4,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,16:00:00 07-May-2019,00:00:00 08-May-2019,,,,0.0,0.00,296.0,3.75,11.3,0.00,29.4,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,00:00:00 08-May-2019,08:00:00 08-May-2019,,,,22.0,0.00,200.0,1.75,17.6,0.00,29.4,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 08-May-2019,16:00:00 08-May-2019,,,,0.0,0.00,568.0,7.75,7.6,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,16:00:00 08-May-2019,00:00:00 09-May-2019,,,,0.0,0.00,936.0,7.75,4.9,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,00:00:00 09-May-2019,08:00:00 09-May-2019,,,,0.0,0.00,204.0,1.75,16.7,0.00,29.6,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 09-May-2019,16:00:00 09-May-2019,,,,0.0,0.00,212.0,1.75,15.6,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,16:00:00 09-May-2019,00:00:00 10-May-2019,,,,,,,,17.2,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 10-May-2019,16:00:00 10-May-2019,,,,,,,,13.8,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,16:00:00 10-May-2019,00:00:00 11-May-2019,,,,0.0,0.00,360.0,3.75,10.3,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,5,00:00:00 11-May-2019,08:00:00 11-May-2019,,,,0.0,0.00,488.0,3.75,8.6,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,5,08:00:00 11-May-2019,16:00:00 11-May-2019,,,,0.0,0.00,256.0,3.75,13.1,0.00,29.4,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,8,16:00:00 11-May-2019,00:00:00 12-May-2019,,,,0.0,0.00,344.0,3.75,10.6,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,5,00:00:00 12-May-2019,08:00:00 12-May-2019,,,,0.0,0.00,256.0,3.75,12.1,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,4,08:00:00 12-May-2019,16:00:00 12-May-2019,,,,23.5,0.00,256.0,3.75,12.3,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,6,16:00:00 12-May-2019,00:00:00 13-May-2019,,,,0.0,0.00,368.0,3.75,9.8,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,6,00:00:00 13-May-2019,08:00:00 13-May-2019,,,,0.0,0.00,376.0,3.75,9.6,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,7,08:00:00 13-May-2019,16:00:00 13-May-2019,,,,0.0,0.00,236.0,1.75,12.3,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,16:00:00 13-May-2019,00:00:00 14-May-2019,,,,29.5,0.25,280.0,3.75,11.1,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,4,00:00:00 14-May-2019,08:00:00 14-May-2019,,,,0.0,0.00,288.0,3.75,11.1,0.00,29.4,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 14-May-2019,16:00:00 14-May-2019,,,,0.0,0.00,228.0,1.75,12.4,0.00,29.1,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,16:00:00 14-May-2019,00:00:00 15-May-2019,,,,0.0,0.00,288.0,3.75,10.9,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,00:00:00 15-May-2019,08:00:00 15-May-2019,,,,0.0,0.00,400.0,3.75,9.3,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 15-May-2019,16:00:00 15-May-2019,,,,0.0,0.00,236.0,1.75,12.6,0.00,29.1,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,16:00:00 15-May-2019,00:00:00 16-May-2019,,,,0.0,0.00,368.0,3.75,9.4,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,00:00:00 16-May-2019,08:00:00 16-May-2019,,,,0.0,0.00,520.0,7.75,7.6,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 16-May-2019,16:00:00 16-May-2019,,,,0.0,0.00,244.0,1.75,11.9,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,16:00:00 16-May-2019,00:00:00 17-May-2019,,,,0.0,0.00,304.0,3.75,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,1,08:00:00 17-May-2019,16:00:00 17-May-2019,,,,0.0,0.00,272.0,3.75,11.1,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,16:00:00 17-May-2019,00:00:00 18-May-2019,,,,65.5,0.75,456.0,3.75,8.6,0.00,29.1,0.00,,,
