DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 24-Mar-2019,-1.000000,2,,,,,12,100,1.0,1.0,1.0,13.3,10.2,5.1,7.1,9.2,17.3,12.2,10.2,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 25-Mar-2019,-1.000000,1,,,,,12,100.000000,0,1.0,4.1,6.1,5.1,22.4,10.2,10.2,17.3,19.4,3.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 26-Mar-2019,-1.000000,4,,,,,12,100,1.1,1.1,3.2,7.4,13.8,10.6,7.4,9.6,17.0,10.6,11.7,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 27-Mar-2019,-1.000000,4,,,,,12,100.000000,0,1.0,1.0,7.3,20.8,12.5,5.2,7.3,9.4,14.6,17.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 28-Mar-2019,-1.000000,3,,,,,12,100,1.1,1.1,4.2,10.5,13.7,6.3,3.2,7.4,12.6,7.4,30.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 29-Mar-2019,-2.000000,3,,,,,12,100.000000,0,0,1.0,9.3,14.4,23.7,8.2,6.2,9.3,5.2,21.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 31-Mar-2019,-2.000000,3,,,,,12,100,3.1,3.1,2.1,2.1,5.2,10.4,9.4,13.5,15.6,6.3,29.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 01-Apr-2019,-2.000000,2,,,,,12,100,1.0,1.0,4.2,2.1,5.2,8.3,10.4,9.4,8.3,4.2,45.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 02-Apr-2019,-2.000000,2,,,,,12,100,4.3,4.3,10.6,8.5,5.3,7.4,3.2,4.3,6.4,3.2,42.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 03-Apr-2019,-2.000000,3,,,,,12,100,1.1,1.1,3.2,9.5,9.5,15.8,4.2,6.3,7.4,4.2,37.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 04-Apr-2019,-2.000000,4,,,,,12,100,1.1,1.1,3.2,13.7,8.4,8.4,6.3,6.3,7.4,5.3,38.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 05-Apr-2019,-2.000000,2,,,,,12,100,0,1.0,2.1,13.5,15.6,7.3,6.3,5.2,6.3,7.3,35.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 06-Apr-2019,-2.000000,6,,,,,12,100,0,2.1,4.2,14.7,8.4,6.3,4.2,7.4,5.3,5.3,42.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 07-Apr-2019,-2.000000,2,,,,,12,100,1.0,1.0,5.2,21.9,4.2,6.3,5.2,3.1,3.1,7.3,41.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 09-Apr-2019,-2.000000,3,,,,,12,100,3.2,1.1,1.1,2.1,18.9,10.5,4.2,7.4,9.5,28.4,13.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 10-Apr-2019,-2.000000,3,,,,,12,100,0,1.1,1.1,5.3,8.4,9.5,3.2,7.4,6.3,20,37.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 11-Apr-2019,-2.000000,1,,,,,12,100,0,1.1,6.3,15.8,4.2,8.4,5.3,5.3,6.3,7.4,38.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 12-Apr-2019,-2.000000,2,,,,,12,100,0,1.1,6.3,9.5,7.4,7.4,5.3,6.3,10.5,8.4,36.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 13-Apr-2019,-2.000000,2,,,,,12,100,1.1,1.1,7.4,21.3,8.5,4.3,5.3,4.3,8.5,4.3,34.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
